username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,place,key
DoubtsFadeAway,2016-01-24 00:00:00,0,0,I'm at Rochor Beancurd House in Singapore https://www. swarmapp.com/c/fcE5JC2mcXi,,,,690927085087543296,https://twitter.com/DoubtsFadeAway/status/690927085087543296,rochor mrt station,rochor
ofmeowandbake,2016-01-24 00:00:00,0,0,@starduest but this is just the people who live in Tampines right? What abt people who work in Tampines but don’t live there?,,@starduest,,690927059351113728,https://twitter.com/ofmeowandbake/status/690927059351113728,tampines mrt station,tampines
ofmeowandbake,2016-01-24 00:00:00,0,0,@starduest like people who live in Bedok but work in Tampines so the amt of people in out is a lot more.,,@starduest,,690927197918404609,https://twitter.com/ofmeowandbake/status/690927197918404609,bedok mrt station,bedok
AllYouAre,2016-01-24 00:01:00,0,0,I'm at YES Supermarket Tampines St. 81 https://www. swarmapp.com/c/h4UBqf2iwAy,,,,690927380152610816,https://twitter.com/AllYouAre/status/690927380152610816,tampines mrt station,tampines
AllYouAre,2016-01-24 00:01:00,0,0,I'm at Blk 829 Tampines Street 81 in Singapore https://www. swarmapp.com/c/4748N4nqa0N,,,,690927431302172672,https://twitter.com/AllYouAre/status/690927431302172672,tampines mrt station,tampines
AllYouAre,2016-01-24 00:01:00,0,0,I'm at Yanhui Crib in Tampines https://www. swarmapp.com/c/3Xo2lmWhtID,,,,690927459588521985,https://twitter.com/AllYouAre/status/690927459588521985,tampines mrt station,tampines
AllYouAre,2016-01-24 00:01:00,0,0,I'm at POSB Tampines West Branch - @dbsbank in Singapore https://www. swarmapp.com/c/i6FER6NneDA,,@dbsbank,,690927345327284224,https://twitter.com/AllYouAre/status/690927345327284224,tampines mrt station,tampines
Charzzlyn_L,2016-01-24 00:01:00,0,0,Amazing concert!!!!!! I will go again!!!! ONE OK ROCK!!!!! @Fort Canning https://www. instagram.com/p/BA4zNLipiEx/,,@Fort,,690927273680089089,https://twitter.com/Charzzlyn_L/status/690927273680089089,fort canning mrt station,fort canning
RenaeCJC,2016-01-24 00:02:00,0,0,http:// bruh.com @Swensen's at Changi Airport Terminal 2 https://www. instagram.com/p/BA4zULxPmwQ/,,@Swensen,,690927511014768640,https://twitter.com/RenaeCJC/status/690927511014768640,changi airport mrt station,changi airport
ZanneSusuMoomoo,2016-01-24 00:02:00,0,0,I'm at Ang Mo Kio Avenue 4 https://www. swarmapp.com/c/8IAcv8LPhZE,,,,690927556736983040,https://twitter.com/ZanneSusuMoomoo/status/690927556736983040,ang mo kio mrt station,ang mo kio
IrfanSK8AndRock,2016-01-24 00:03:00,1,1,@Itsmeazlie aku belikan kat boon lay food village abey antar kat kau,,@Itsmeazlie,,690927882005164032,https://twitter.com/IrfanSK8AndRock/status/690927882005164032,boon lay mrt station,boon lay
