name,latitude,longitude,x_grid,y_grid
tan tock seng,1.321538,103.846066,49,31
changi general hospital,1.340711,103.94935,72,27
mount elizabeth hospital,1.305436,103.83555,47,35
east shore hospital,1.315095,103.908989,63,33
jurong medical centre,1.340519,103.704518,18,27
kk women's and children's hospital,1.31056,103.846871,49,34
ren ci hospital,1.322936,103.845941,49,31
khoo teck puat,1.424034,103.8384,47,8
national university hospital,1.294373,103.7834,35,37
gleneagles hospital,1.30763,103.82016,43,34
bright vision hospital,1.371764,103.877938,56,20
st andrew's community hospital,1.341619,103.948827,71,27
singapore general hospital,1.282769,103.836174,47,40
institute of mental health,1.382913,103.884897,57,18
mount elizabeth novena hospital,1.321958,103.844649,49,31
national neuroscience institute,1.321731,103.845645,49,31
kwong wai shiu,1.317185,103.85939,52,32
mount alvernia hospital,1.341499,103.83762,47,27
thomson medical centre,1.325301,103.84138,48,30
sata commhealth,1.32804,103.921395,65,30
clementi polyclinic,1.312628,103.765727,31,33
pasir ris polyclinic,1.368417,103.959267,74,21
singapore red cross society,1.297227,103.844468,48,36
assisi hospice,1.342088,103.838382,47,27
rochor beancurd house,1.326353,103.848472,49,30
chong pang food,1.428611,103.826551,45,7
lau pa sat,1.280508,103.850528,50,40
hard rock cafe sentosa,1.257182,103.820083,43,45
everton food place,1.277095,103.839321,47,41
newton food centre,1.312062,103.839451,47,33
strictly pancakes,1.299644,103.849743,50,36
chomp chomp food centre,1.36427,103.866454,53,22
wave house sentosa,1.25461,103.813698,42,46
chinatown food street,1.282431,103.843775,48,40
dempsey hill,1.304041,103.810042,41,35
paragon shopping centre,1.304185,103.836085,47,35
victoria concert hall,1.288275,103.851629,50,38
bugis street,1.300295,103.854889,51,36
southpoint singapore,1.27358,103.841425,48,42
marina bay financial centre,1.281703,103.85273,50,40
singapore mint coin gallery,1.325267,103.739585,25,30
sph media centre,1.309448,103.77447,33,34
changi sailing club,1.392248,103.979863,78,16
keppel club,1.266858,103.807512,40,43
changi beach club,1.390828,103.9752,77,16
singapore soka association,1.348107,103.935714,69,25
coronation plaza,1.323819,103.809993,41,31
balestier plaza,1.32575,103.850342,50,30
