name,key,active,latitude,longitude
112 Katong,112 Katong,1,1.3052458,103.9050356
Asian Civilisations Museum,Asian Civilisations Museum,1,1.2874969,103.8513861
Capitol Theatre Singapore,Capitol Theatre Singapore,1,1.29351,103.8513178
Marina Bay Sands,Marina Bay Sands,1,1.2839431,103.8609341
Hong Lim Park,Hong Lim Park,1,1.2865428,103.8458908
Singapore Indoor Stadium,Singapore Indoor Stadium,1,1.3006291,103.874354
MAX Atria,MAX Atria,1,1.3332953,103.9567683
Bedok Stadium,Bedok Stadium,1,1.3265123,103.9393749
Choa Chu Kang Stadium,Choa Chu Kang Stadium,1,1.3909869,103.7486764
Choa Chu Kang Stadium,Chua Chu Kang Stadium,1,1.3909869,103.7486764
Choa Chu Kang Stadium,CCK Stadium,1,1.3909869,103.7486764
Helix Bridge,Helix Bridge,1,1.2876834,103.8605974
Bishan Stadium,Bishan Stadium,1,1.355076,103.851273
Jalan Besar Stadium,Jalan Besar Stadium,1,1.309662,103.8600859
Lower Seletar Reservoir,Lower Seletar Reservoir,1,1.4050778,103.8433641
Woodlands Stadium,Woodlands Stadium,1,1.4345616,103.7808204
Marina Barrage,Marina Barrage,1,1.2805281,103.8711746
Woodlands Town Garden,Woodlands Town Garden,1,1.4381215,103.7705687
Clementi Stadium,Clementi Stadium,1,1.3097867,103.762521
Resorts World Sentosa,Resorts World Sentosa,1,1.255179,103.8218107
Henderson Waves,Henderson Wave,1,1.2760208,103.8153941
East Coast Park,East Coast Park,1,1.3007842,103.9121866
Sungei Buloh Wetland Reserve,Sungei Buloh Wetland,1,1.4467195,103.7301489
The Southern Ridges,Southern Ridges,1,1.2801016,103.8029949
SOTA Concert Hall,Sota Concert Hall,1,1.298907,103.84871
Upper Seletar Reservoir,Upper Seletar Reservoir,1,1.3988664,103.7959574
Jurong Stadium,Jurong Stadium,1,1.3331861,103.7192966
Punggol Park,Punggol Park,1,1.3769623,103.8985194
Leisure Park Kallang,Leisure Park Kallang,1,1.3021872,103.8765059
Tampines Stadium,Tampines Stadium,1,1.3532213,103.9403757
Tekka Centre,Tekka Centre,1,1.306251,103.850654
Siloso Beach,Siloso Beach,1,1.25425,103.81476
Singapore Conference Hall,Singapore Conference Hall,1,1.2762062,103.8489829
Plaza Singapura,Plaza Singapura,1,1.3005239,103.84503
Jurong East Stadium,Jurong East Stadium,1,1.3467156,103.7299383
Ang Mo Kio Town Garden West,Ang Mo Kio Town Garden West,1,1.3743925,103.8448705
Ang Mo Kio Town Garden West,AMK Garden West,1,1.3743925,103.8448705
Clementi Woods Park,Clementi Woods Park,1,1.3016586,103.7667196
Yio Chu Kang Stadium,Yio Chu Kang Stadium,1,1.3827108,103.8465839
Yio Chu Kang Stadium,YCK Stadium,1,1.3827108,103.8465839
Causeway Point,Causeway Point,1,1.4359844,103.7860127
Madame Tussauds Singapore,Madame Tussauds Singapore,1,1.2538878,103.8176412
Ang Mo Kio Town Garden East,Ang Mo Kio Town Garden East,1,1.3707346,103.8502485
Ang Mo Kio Town Garden East,AMK Garden East,1,1.3707346,103.8502485
Pasir Ris Town Park,Pasir Ris Town Park,1,1.3733023,103.9523953
Upper Peirce Reservoir,Upper Peirce Reservoir,1,1.3743377,103.8111331
Merlion Park,Merlion Park,1,1.2867892,103.8545014
West Coast Park,West Coast Park,1,1.2918978,103.7657869
Boat Quay,Boat Quay,1,1.2859963,103.8501608
Sim Lim Square,Sim Lim Square,1,1.303043,103.852921
Kent Ridge Park,Kent Ridge Park,1,1.2838852,103.7912945
University Cultural Centre,UCC Hall Singapore,1,1.3018212,103.7722354
University Cultural Centre,University Cultural Centre NUS,1,1.3018212,103.7722354
Palawan Beach,Palawan Beach Sentosa,1,1.2482777,103.8225374
Palawan Beach,Palawan Beach Singapore,1,1.2482777,103.8225374
Esplanade Theatre,Esplanade Theatre,1,1.289831,103.855827
Esplanade Theatre,Theatres on the Bay,1,1.289831,103.855827
Esplanade Theatre,Esplanade Concert,1,1.289831,103.855827
Mount Faber Park,Mount Faber Park,1,1.2737864,103.8174964
Lower Peirce Reservoir,Lower Peirce Reservoir,1,1.3700154,103.8230752
Lee Foundation Theatre,Lee Foundation Theatre,1,1.3011445,103.851901
Kallang Wave Mall,Kallang Wave Mall,1,1.3031838,103.8728625
Singapore Discovery Centre,Singapore Discovery Centre,1,1.3326904,103.6789432
Zepp@BIGBOX,Zepp@BigBOX,1,1.3318799,103.7448812
Artscience Museum,Artscience Museum,1,1.2862738,103.8592663
Artscience Museum,Artscimuseum,1,1.2862738,103.8592663
Changi Beach Park,Changi Beach Park,1,1.3909433,103.9920554
Jurong Lake,Jurong Lake,1,1.3418479,103.7281926
Bedok Reservoir,Bedok Reservoir,1,1.3413025,103.9245499
Jurong Bird Park,Jurong Bird Park,1,1.3187065,103.7064417
Toa Payoh Stadium,Toa Payoh Stadium,1,1.3303137,103.8529676
Bukit Timah Hill,Bukit Timah Hill,1,1.3548163,103.7762985
Jurong West Stadium,Jurong West Stadium,1,1.338555,103.6949249
Bukit Gombak Stadium,Bukit Gombak Stadium,1,1.3582504,103.7536462
National Gallery Singapore,National Gallery Singapore,1,1.289704,103.851285
Telok Blangah Hill Park,Telok Blangah Hill Park,1,1.278877,103.813289
Singapore Zoo,Singapore Zoo,1,1.4043485,103.793023
Bedok Town Park,Bedok Town Park,1,1.3349078,103.9238184
Far East Plaza,Far East Plaza,1,1.307145,103.833646
Marina Bay Floating Platform,Marina Bay Floating Platform,1,1.288153,103.859028
Marina Bay Floating Platform,Float@Marina Bay,1,1.288153,103.859028
Singapore National Stadium,Singapore National Stadium,1,1.3043297,103.8743375
Singapore National Stadium,Singapore Sports Hub,1,1.3043297,103.8743375
National Museum of Singapore,National Museum of Singapore,1,1.2966375,103.8486646
Bedok Mall,Bedok Mall,1,1.3243582,103.9286897
HortPark,HortPark,1,1.2787362,103.8018322
HortPark,Hort Park,1,1.2787362,103.8018322
Bukit Batok Nature Park,Bukit Batok Nature Park,1,1.3484689,103.7639114
Maritime Experiential Museum & Aquarium,Maritime Experiential Museum & Aquarium,1,1.2582411,103.8205111
Tanjong Beach,Tanjong Beach Sentosa,1,1.243299,103.828128
Tanjong Beach,Tanjong Beach Singapore,1,1.243299,103.828128
S.E.A Aquarium,S.E.A Aquarium,1,1.258369,103.82047
Istana,Istana Singapore,1,1.306996,103.8430853
Yishun Stadium,Yishun Stadium,1,1.4117246,103.8312597
Dairy Farm Nature Park,Dairy Farm Nature Park,1,1.3618794,103.7753145
Singapore Art Museum,Singapore Art Museum,1,1.2973072,103.8510615
Bukit Batok Town Park,Bukit Batok Town Park,1,1.3567559,103.7536228
Bukit Batok Town Park,Xiao Guilin,1,1.3567559,103.7536228
Thian Hock Keng Temple,Thian Hock Keng Temple,1,1.2810871,103.8474767
Victoria Theatre and Concert Hall,Victoria Theatre and Concert Hall,1,1.2883375,103.8518126
Victoria Theatre and Concert Hall,Victoria Theatre Singapore,1,1.2883375,103.8518126
Victoria Theatre and Concert Hall,Victoria Concert Singapore,1,1.2883375,103.8518126
River Safari,River Safari Singapore,1,1.4029491,103.7917411
Bishan-Ang Mo Kio Park,Bishan-Ang Mo Kio Park,1,1.3634088,103.8435614
Bishan-Ang Mo Kio Park,Bishan-AMK Park,1,1.3634088,103.8435614
MacRitchie Reservoir,MacRitchie Reservoir,1,1.3447621,103.8223506
People's Park Complex,People's Park Complex,1,1.2842974,103.8427322
Wild Wild Wet,Wild Wild Wet,1,1.3773814,103.9543187
Night Safari,Night Safari Singapore,1,1.4021872,103.7880606
Festive Grand Theatre,Festive Grand Theatre Singapore,1,1.2494041,103.8303209
Padang,Padang Singapore,1,1.2905564,103.8530438
Labrador Park,Labrador Park Singapore,1,1.2674872,103.801682
Malay Heritage Centre,Malay Heritage Centre,1,1.30275,103.8600008
Raffles City Convention Centre,Raffles City Convention Centre,1,1.2939556,103.8533468
Peranakan Museum,Peranakan Museum,1,1.2943669,103.8490391
Mustafa Centre,Mustafa Centre,1,1.310116,103.855366
Star Performing Arts Centre,Star Performing Arts Centre,1,1.306895,103.788483
Star Performing Arts Centre,Star Theatre Singapore,1,1.306895,103.788483
Changi Exhibition Centre,Changi Exhibition Centre,1,1.3640239,104.0222722
Liang Court,Liang Court,1,1.2915874,103.8447075
Science Centre Singapore,Science Centre Singapore,1,1.3332332,103.7362246
Suntec Convention Centre,Suntec Convention Centre,1,1.2936854,103.8572793
Tanjong Pagar Railway Station,Tanjong Pagar Railway Station,1,1.272992,103.838635
